source,target,category,color
Syed Masood Abbas Jaffery,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Waseem-ul-Haque Ansari,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Waseem-ul-Haque Ansari,Preston University,Masters Institute,#2ca02c
Sarocsh Ahmed,Institute Of Business Management Karachi,Bachelor Institute,#1f77b4
Sarocsh Ahmed,Institute Of Business Management Karachi,Masters Institute,#2ca02c
Faisal Ahmed,Ohio State University,Bachelor Institute,#1f77b4
Shaikh Muhammad Tanveer,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Sohail H Hydari,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Faisal Ahmed Mukhtar,Bahauddin Zakariya University,Masters Institute,#2ca02c
Moin Ur Rehman,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Syed Aamir Hussain,Southern Arkansas University,Bachelor Institute,#1f77b4
Syed Aamir Hussain,National University,Masters Institute,#2ca02c
Muhammad Aminuddin,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Muhammad Shoaib Ibrahim,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Muhammad Shoaib Ibrahim,Centre For Islamic Economics,Masters Institute,#2ca02c
Asmer Baig,National University Of Sciences And Technology,Bachelor Institute,#1f77b4
Asmer Baig,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Haroon Ahmad Khan,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Abdul Waheed,Punjab University,Masters Institute,#2ca02c
M. Zeid Yousuf Saigol,Carnegie Mellon University,Bachelor Institute,#1f77b4
Hussain Jamil,Karachi University,Bachelor Institute,#1f77b4
Bilal Sharif,Regent'S Business School London,Bachelor Institute,#1f77b4
Bilal Sharif,American University Of London,Bachelor Institute,#1f77b4
Fareed Mughis Sheikh,University Of Denver,Bachelor Institute,#1f77b4
Anjum Adil,Alma College,Bachelor Institute,#1f77b4
Mohammad Hussain Hirji,Depaul University,Bachelor Institute,#1f77b4
Mohammad Hussain Hirji,Depaul University,Masters Institute,#2ca02c
Mehreen Obaid Agha,Mount Holyoke College,Bachelor Institute,#1f77b4
Dr. Mahmood Ahmad,Army Medical College,Professional Qualifications,#9467bd
Samera Irfan Shaikh,Lahore College For Women University,Bachelor Institute,#1f77b4
Samera Irfan Shaikh,Punjab University,Masters Institute,#2ca02c
Naveed M. Sheikh,University Of San Francisco,Bachelor Institute,#1f77b4
Aslam Faruque,University Of The Pacific,Bachelor Institute,#1f77b4
Amir Ahmed Chapra,University Of West Florida,Bachelor Institute,#1f77b4
Khurrum Salim,Government College,Bachelor Institute,#1f77b4
Salem Rehman,Purdue University,Bachelor Institute,#1f77b4
Salem Rehman,Insead,Masters Institute,#2ca02c
Tayyab Aijaz,Punjab University,Bachelor Institute,#1f77b4
Tayyab Aijaz,Pak-American Institute Of Management Sciences,Masters Institute,#2ca02c
Ahmad Shafi,American University,Bachelor Institute,#1f77b4
Ahmad Shafi,Concordia University,Bachelor Institute,#1f77b4
Razak H. M. Bengali,Karachi University,Bachelor Institute,#1f77b4
Zubair Razzak Palwala,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Iffat Zehra Mankani,Rotman School Of Management,Masters Institute,#2ca02c
Iffat Zehra Mankani,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Adam Jadoon,University Of Southern California,Bachelor Institute,#1f77b4
Adam Jadoon,University Of Peshawar,Masters Institute,#2ca02c
Muhammad Irfan-ul-Haq,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Muhammad Irfan-ul-Haq,London Metropolitan University,Masters Institute,#2ca02c
Ali Saleem Rana (Acting),Shaheed Zulfikar Ali Bhutto Institute Of Science And Technology,Masters Institute,#2ca02c
Adnan Ahmed Khan,Boston University,Bachelor Institute,#1f77b4
Adnan Ahmed Khan,Northeastern University,Masters Institute,#2ca02c
Nadeem Ellahi Shaikh,Boston University,Bachelor Institute,#1f77b4
Shazad Ali Khan,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Faraz Mubeen Jumani,American Intercontinental University System,Bachelor Institute,#1f77b4
Faraz Mubeen Jumani,Nova Southeastern University,Masters Institute,#2ca02c
Ahmed Ali Muhammad Amin Bawany,University Of Southern California,Bachelor Institute,#1f77b4
Aftab Ahmad Ch.,Nicholls State University,Masters Institute,#2ca02c
Muhammad Ali Jameel,London School Of Economics And Political Science,Bachelor Institute,#1f77b4
Noor Muhammad Zakaria,Karachi University,Bachelor Institute,#1f77b4
Jehanzeb Zafar,National University Of Computer And Emerging Sciences,Bachelor Institute,#1f77b4
Jehanzeb Zafar,Cass Business School,Masters Institute,#2ca02c
Imran Baxamoosa,University Of Toronto,Masters Institute,#2ca02c
Sohail Ahmed,Karachi University,Bachelor Institute,#1f77b4
Muhammad Naeem ul Hasnain Mirza,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Muhammad Asif,Punjab University,Bachelor Institute,#1f77b4
Muhammad Asif,Institute Of Cost And Management Accountants Of Pakistan,Professional Qualifications,#9467bd
Basheer Ahmed Chowdry,Punjab University,Bachelor Institute,#1f77b4
Najm-ul- Hassan,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
A. Razzak Ahmed,Chartered Insurance Institute London,Professional Qualifications,#9467bd
Syed Ather Abbas,Karachi University,Masters Institute,#2ca02c
M. Haroon Qassim,University Of Illinois,Bachelor Institute,#1f77b4
M. Haroon Qassim,Loyola University Of Chicago,Masters Institute,#2ca02c
Muhammad Ehtisham Khan,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Amjad Waqar,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Amjad Waqar,Association Of Chartered Certified Accountants,Professional Qualifications,#9467bd
Lt Col Abdul Khaliq Khan (Retd),Pakistan Military Academy Kakul,Bachelor Institute,#1f77b4
Lt Col Abdul Khaliq Khan (Retd),Pakistan Military Academy Kakul,Masters Institute,#2ca02c
Abid Mehmood,Punjab University,Masters Institute,#2ca02c
Basit Rehman Malik,Boston University,Bachelor Institute,#1f77b4
Mr. Muhammad Nadeem,Dawood University Of Engineering And Technology,Bachelor Institute,#1f77b4
Mr. Muhammad Nadeem,Preston University,Masters Institute,#2ca02c
Dr. ShahIn Kuli Khan Khattak,University Of Peshawar,Masters Institute,#2ca02c
Dr. ShahIn Kuli Khan Khattak,King'S College London,Phd Insitute,#ff7f0e
Abbas Sarfaraz Khan,Boston University,Bachelor Institute,#1f77b4
Haroon Shahzada Ellahi Shaikh,University Of Manchester,Bachelor Institute,#1f77b4
Muhammad Rizwan ul Haque,Federal College Of Commerce,Bachelor Institute,#1f77b4
Muhammad Rizwan ul Haque,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Mian Mustafa Ali Tariq,University Of California,Bachelor Institute,#1f77b4
Abid Sayeed,Kenyon College,Bachelor Institute,#1f77b4
Nabeel Anjum Malik,Princeton University,Bachelor Institute,#1f77b4
Nabeel Anjum Malik,Yale University,Masters Institute,#2ca02c
Amin Ellahi Sheikh,New York University,Bachelor Institute,#1f77b4
Danish Elahi,London School Of Economics And Political Science,Bachelor Institute,#1f77b4
Assad Saifullah Khan,University Of Pennsylvania,Bachelor Institute,#1f77b4
Assad Saifullah Khan,College Of Law,Masters Institute,#2ca02c
Mohammad Alamgir Jmail Khan,Institute Of Management Sciences,Bachelor Institute,#1f77b4
Khurram Iftikhar,Kensington College Of Business,Bachelor Institute,#1f77b4
Mujtaba Ahmad,Dawood University Of Engineering And Technology,Bachelor Institute,#1f77b4
Mujtaba Ahmad,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Muhammad Mohsin Ali,Institute Of Cost And Management Accountants Of Pakistan,Professional Qualifications,#9467bd
Ali Pervez Ahmed,Georgetown University,Bachelor Institute,#1f77b4
Imran Ghafoor,Punjab University,Bachelor Institute,#1f77b4
Zain ul Haq Qureshi,Imperial College London,Bachelor Institute,#1f77b4
Zain ul Haq Qureshi,University Of Oxford,Masters Institute,#2ca02c
Raza Ellahi Shaikh,Columbia College,Bachelor Institute,#1f77b4
Raheel Qamar Ahmad,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Raheel Qamar Ahmad,Illinois Institute Of Technology,Masters Institute,#2ca02c
Saif Tariq,Wharton School Of The University Of Pennsylvania,Bachelor Institute,#1f77b4
